Years Exp.,Year Built,Length,Hull Limit,# Engines,num_claims,Age,policy_length,New/Renl/Endt/Canc/Flat_endt,New/Renl/Endt/Canc/Flat_endt-canc,New/Renl/Endt/Canc/Flat_new,New/Renl/Endt/Canc/Flat_renl,Married yes/no_not reported,Married yes/no_yes,Occupation_business owner,Occupation_ceo,Occupation_construction,Occupation_consultant,Occupation_contractor,Occupation_cpa,Occupation_engineer,Occupation_executive,Occupation_investor,Occupation_manager,Occupation_not reported,Occupation_other,Occupation_physician,Occupation_pilot,Occupation_real estate,Occupation_real estate investor,Occupation_retired,Occupation_sales,Occupation_self employed,Occupation_software developer,Builder_bertram,Builder_cabo,Builder_carver,Builder_catalina,Builder_catana,Builder_hatteras,Builder_hunter,Builder_intrepid,Builder_island packet,Builder_jeanneau,Builder_lagoon,Builder_ocean alexander,Builder_offshore,Builder_other,Builder_riviera,Builder_robertson & caine,Builder_sea ray,Builder_tayana,Builder_tiara,Builder_viking,Construction_carbon fiber,Construction_fiberglass,Construction_not reported,Construction_steel,Construction_wood,Hull Type_monohull sail,Hull Type_motoryacht,Hull Type_multihull power,Hull Type_multihull sail,Hull Type_outboard power,Hull Type_sportfisher,Hull Type_trawler,Power Type_inboard,Power Type_outboard,Power Type_pod,Mooring County_anne arundel,Mooring County_bcn,Mooring County_bcs,Mooring County_brevard,Mooring County_broward,Mooring County_canada,Mooring County_caribbean,Mooring County_charlotte,Mooring County_collier,Mooring County_contra costa,Mooring County_costa rica,Mooring County_escambia,Mooring County_galveston,Mooring County_grenada,Mooring County_hillsborough,Mooring County_honolulu,Mooring County_jalisco,Mooring County_king,Mooring County_lee,Mooring County_los angeles,Mooring County_manatee,Mooring County_marin,Mooring County_martin,Mooring County_med,Mooring County_miami dade,Mooring County_miami-dade,Mooring County_monroe,Mooring County_nayarit,Mooring County_new zealand,Mooring County_nueces,Mooring County_orange,Mooring County_other,Mooring County_palm beach,Mooring County_panama,Mooring County_pinellas,Mooring County_san diego,Mooring County_san francisco,Mooring County_san mateo,Mooring County_santa cruz,Mooring County_sarasota,Mooring County_sinaloa,Mooring County_skagit,Mooring County_sonora,Mooring County_south pacific,Mooring County_st. johns,Mooring County_st. lucie,Mooring County_ventura,Mooring County_volusia,Mooring County_whatcom
2.0,1997.0,63.0,500000.0,2.0,0.0,73,1759.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,2006.0,61.0,1275000.0,2.0,0.0,69,1772.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,2001.0,48.0,400000.0,2.0,0.0,78,1760.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,1973.0,32.0,35000.0,0.0,0.0,44,1760.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,1989.0,43.0,200000.0,1.0,0.0,70,1757.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0,2016.0,58.0,2500000.0,2.0,0.0,72,1754.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,1999.0,40.0,107500.0,2.0,0.0,64,1767.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20.0,2003.0,31.0,130000.0,2.0,0.0,52,1775.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,1989.0,41.0,82700.0,2.0,0.0,66,1725.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.0,1930.0,30.0,95000.0,1.0,0.0,70,1748.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
